voltage,current,HTL,Electrode,SourceFile
-1.999500036,0.585656741,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
-2.019500017,0.623908976,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
-2.039499998,0.682457284,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
-2.059499979,0.734545504,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
-2.07949996,0.805496553,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
-2.099499941,0.8716314,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
-2.119499922,1.201944061,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
-2.139499903,1.51124526,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
-2.159499884,1.509831078,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
-2.179500103,1.43857516,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
-2.199500084,1.305857604,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
-2.219500065,1.489288705,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
-2.239500046,1.607379782,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
-2.259500027,1.780885273,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
-2.279500008,2.388209335,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
-2.299499989,2.251249595,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
-2.319499969,2.830195018,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
-2.33949995,3.09948338,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
-2.359499931,3.389374609,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
-2.379499912,3.685520996,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
