dark,0.1Sun
0.037079303,1.618239132
0.036115512,1.615613995
0.035338788,1.611748246
0.028248879,1.614366311
0.027195493,1.6222534
0.030206887,1.613631943
0.027170465,1.62112101
0.028806427,1.615076501
0.028379131,1.614095754
0.028824778,1.609183141
0.030190661,1.61685066
0.028866695,1.608443675
0.028819764,1.611232955
0.02761649,1.620345854
0.027494171,1.619684512
0.027862368,1.61891725
0.028715075,1.610156486
0.0279496,1.612637381
0.026202437,1.60812904
0.028273692,1.614497395
0.027867132,1.623927231
0.028915703,1.63644766
0.026842652,1.61539426
0.026771551,1.616693096
0.028252464,1.611284599
0.027627497,1.61717286
0.027672295,1.610067178
0.030119609,1.610380168
0.027237518,1.611434104
0.027670904,1.613607437
0.027698677,1.613562372
0.028948685,1.620983018
0.026984383,1.612955305
0.02643372,1.612673894
0.026731371,1.617874498
0.026927098,1.614661702
0.027187799,1.618874816
0.02684084,1.620281874
0.02781814,1.61899998
0.027527408,1.627653344
0.027280607,1.626350232
0.026872804,1.62162413
0.03335254,1.6237797
0.028464715,1.616841285
0.029569237,1.622646323
0.028894676,1.63435459
0.026750632,1.621266239
0.026747428,1.621278081
0.024705896,1.625808297
0.024793344,1.639687758
0.025099035,1.646216145
0.025340976,1.648795888
0.025229906,1.622778065
0.024955069,1.650106236
0.025828792,1.630574366
0.026073095,1.624119499
0.02617287,1.635085339
0.026341554,1.635810989
0.027961182,1.636470522
0.029631351,1.654847305
0.027783755,1.650402779
0.027599788,1.649767259
0.027414333,1.641803197
0.030644915,1.64106077
0.033969485,1.635736484
0.028698615,1.623060957
0.029057771,1.628325705
0.025513585,1.64134136
0.025620602,1.634323505
0.025602207,1.622640402
0.028426743,1.626081321
0.028012184,1.671818017
0.026489317,1.623383322
0.027979585,1.633018913
0.026413755,1.618114627
0.026395131,1.619637144
0.027011747,1.645097735
0.025188254,1.633261016
0.025580643,1.650210182
0.024574912,1.638582013
0.025557054,1.627598575
0.025051585,1.62884297
0.024460871,1.646452655
0.025503906,1.634752119
0.024057234,1.62762489
0.02554707,1.637415414
0.025322206,1.631859879
0.028547571,1.642581149
0.026482697,1.657802538
0.024229991,1.651583852
0.025077613,1.633747195
0.025419103,1.659887549
0.026926278,1.632039647
0.024002714,1.627147592
0.023702566,1.616979606
0.024126353,1.618684193
0.025219455,1.620938611
0.023877273,1.624318345
0.024789723,1.628306133
0.024539055,1.62197314
0.024065167,1.619533856
0.0245752,1.626993811
0.023968234,1.622865729
0.024569058,1.624218347
0.023531363,1.640445152
0.023742794,1.621567552
0.024258905,1.629121585
0.024621586,1.626465198
0.023973608,1.629915985
0.024492167,1.627910742
0.024723662,1.625056331
0.025237675,1.62709529
0.024744768,1.634296367
0.026485465,1.636860979
0.024594726,1.629234084
0.023476268,1.636859498
0.024157541,1.625139719
0.023710242,1.621192884
0.024566313,1.629323886
0.025687971,1.624448772
0.026207302,1.627534102
0.024292537,1.628999876
0.02382997,1.628041333
0.02384038,1.622633988
0.023550064,1.618846198
0.024118487,1.627055653
0.024044726,1.6232751
0.027312129,1.622894018
0.026301135,1.620412629
0.024670974,1.630495749
0.026136609,1.628176529
0.024553569,1.627175388
0.024848796,1.627192329
0.024998391,1.632678456
0.024602924,1.648717106
0.02544677,1.652222497
0.025196883,1.633634532
0.024837759,1.641192513
0.024345777,1.662191308
0.024844443,1.63234096
0.02671349,1.632387505
0.026569086,1.639464734
0.025896468,1.630026181
0.024196292,1.635918225
0.024880537,1.64064663
0.024738122,1.637136798
0.02459377,1.635062971
0.024339301,1.623895653
0.02615878,1.631146729
0.023343148,1.63785258
0.023161221,1.647709715
0.023987621,1.672881822
0.024777197,1.647272877
0.023978827,1.676349714
0.023349704,1.651162475
0.025334811,1.647467612
0.024574211,1.647677478
0.024530227,1.643391338
0.023735008,1.652825944
0.023737649,1.64895707
0.024203437,1.662874195
0.024685432,1.670156028
0.024954472,1.659545447
0.025059765,1.640815543
